movieId,imdbId,tmdbId
8636,0316654,558.0
8641,0357413,8699.0
8644,0343818,2048.0
8665,0372183,2502.0
8874,0365748,747.0
8961,0317705,9806.0
30707,0405159,70.0
30793,0367594,118.0
32587,0401792,187.0
33493,0121766,1895.0
33679,0356910,787.0
33794,0372784,272.0
34162,0396269,9522.0
35836,0405422,6957.0
40815,0330373,674.0
41566,0363771,411.0
44191,0434409,752.0
45499,0376994,36668.0
45722,0383574,58.0
46578,0449059,773.0
48385,0443453,496.0
48394,0457430,1417.0
48516,0407887,1422.0
48774,0206634,9693.0
48780,0482571,1124.0
49272,0381061,36557.0
49530,0450259,1372.0
50872,0382932,2062.0
51255,0425112,4638.0
51662,0416449,1271.0
52973,0478311,4964.0
53125,0449088,285.0
54001,0373889,675.0
54286,0440963,2503.0
54503,0829482,8363.0
55820,0477348,6977.0
56174,0480249,6479.0
56367,0467406,7326.0
58559,0468569,155.0
59315,0371746,1726.0
59784,0441773,9502.0
60069,0910970,10681.0
63082,1010048,12405.0
68157,0361748,16869.0
68358,0796366,13475.0
68954,1049413,14160.0
69122,1119646,18785.0
69844,0417741,767.0
70286,1136608,17654.0
71535,1156398,19908.0
72998,0499549,19995.0
73017,0988045,10528.0
74458,1130884,11324.0
76093,0892769,10191.0
78499,0435761,10193.0
79132,1375666,27205.0
80463,1285016,37799.0
81845,1504320,45269.0
89745,0848228,24428.0
91500,1392170,70160.0
91529,1345836,49026.0
99114,1853728,68718.0
106782,0993846,106646.0
109374,2278388,120467.0
109487,0816692,157336.0
112852,2015381,118340.0
122904,1431045,293660.0
